ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
GLW,Technology,71769636864,53.66026,36.238094,5.8632765,5.349,0.12739,0.044239998,0.09159,0.14561,76.51,1.556,0.745,1.103,0.209,,
CPAY,Technology,20827713536,20.037365,13.298017,5.0688276,6.244,0.29097,0.06309,0.24365999,0.44617,201.153,1.134,0.722,0.86,0.139,0.003,44.326723333333334
CTVA,Basic Materials,44548960256,26.558704,20.436136,1.7603649,2.654,0.06705,0.03805,0.09187999,-0.10313,17.175,1.578,0.998,0.748,0.126,,
CSGP,Real Estate,28904712192,1136.6666,60.892853,3.3523397,9.197,0.00252,-0.00398,0.00664,-0.061300002,13.126,3.121,2.839,0.84,0.204,,
COST,Consumer Defensive,408899190784,50.77258,46.85112,14.0130415,1.465,0.30686,0.08833,0.02943,0.03878,34.066,1.034,0.498,0.982,0.081,0.11,4.259192727272727
CTRA,Energy,20139264000,12.217592,11.32618,1.3699127,3.618,0.118549995,0.06279,0.24691999,0.28043,27.957,1.025,0.887,0.321,0.349,0.235,0.48196510638297874
CRWD,Technology,129630871552,,120.97189,39.04089,28.911,-0.089209996,-0.02053,-0.06841,-0.06381,21.36,1.88,1.686,1.086,0.213,,
CCI,Real Estate,38444085248,,32.940296,-25.72261,10.586,-2.06679,0.03974,-0.71931,0.49254,,0.259,0.095,0.961,-0.043,0.066,4.990953939393939
CSX,Industrials,65193766912,22.707794,17.226603,5.105855,5.97,0.22589001,0.07007,0.20548001,0.35071,155.283,0.847,0.67,1.298,-0.009,-0.196,-0.8789083163265305
CMI,Industrials,69225185280,25.971,22.269094,5.738183,2.244,0.22767,0.079050004,0.079450004,0.12132,62.949,1.769,0.931,1.116,-0.016,-0.341,-0.6530526099706744
CVS,Healthcare,98533351424,204.26317,11.978395,1.3516997,0.432,0.0057800002,0.02498,0.0011999999,0.022650002,111.821,0.832,0.594,0.482,0.078,,
DHR,Healthcare,162250129408,46.71959,27.03938,3.1336782,7.281,0.06843,0.040570002,0.14435,0.2075,35.544,1.519,0.835,0.928,0.044,0.134,2.017864179104478
DRI,Consumer Cyclical,20362133504,18.718113,16.537878,9.133891,2.277,0.50411,0.07475,0.08898,0.09879,361.727,0.397,0.13,0.656,0.104,0.261,0.6336351724137931
DDOG,Technology,54872956928,504.77417,77.08374,15.949444,16.195,0.03519,-0.00503,0.033239998,-0.00656,37.199,3.663,3.551,1.233,0.284,-0.337,-2.287351335311573
DVA,Healthcare,8521370112,12.299278,10.574978,-14.792106,1.68,0.61618,0.07007,0.05796,0.14832,953.093,1.363,1.234,0.994,0.048,-0.184,-0.5747270652173914
DAY,Technology,11060016128,,31.271492,4.103432,6.158,-0.05706,-0.00205,-0.07912,-0.25831,45.53,1.043,0.18,1.201,0.095,,
DECK,Consumer Cyclical,13613469696,13.635958,14.429244,5.4366117,2.348,0.43312,0.21533,0.19364001,0.2282,14.22,3.067,2.024,1.193,0.091,0.144,1.0020308333333334
DE,Industrials,126825037824,25.386906,21.16148,4.8867755,4.033,0.20427999,0.038110003,0.110039994,0.11861,245.842,2.222,2.006,1.008,0.131,-0.137,-1.5446335766423358
DELL,Technology,91409121280,17.771242,14.462767,-35.02963,1.086,,0.05835,0.05005,0.07847,,0.853,0.549,1.091,0.108,0.443,0.326473295711061
DAL,Industrials,42533994496,9.187588,9.279202,2.2448137,0.962,0.28514,0.04749,0.07357,0.0992,117.299,0.398,0.262,1.387,0.064,0.102,0.9097256862745099
DVN,Energy,23652646912,8.787736,8.3542595,1.5267988,1.86,0.18586999,0.08022001,0.16424999,0.24194999,56.274,0.957,0.758,0.684,0.071,-0.162,-0.5156950308641975
DXCM,Healthcare,25274404864,35.805553,31.748768,9.220315,5.401,0.30635,0.07017,0.15958999,0.20053,94.479,1.565,1.346,1.524,0.216,1.099,0.2888877888989991
FANG,Energy,45154041856,10.953651,10.654371,1.1447737,4.605,0.10901,0.051009998,0.28689,0.36628,35.66,0.623,0.431,0.616,0.42,0.1,1.0654371
DLR,Real Estate,54728761344,40.439278,129.33884,2.408174,12.487,0.05825,0.010650001,0.23959999,0.13333,79.248,1.304,1.275,1.118,0.111,0.603,2.14492271973466
DG,Consumer Defensive,24218265600,20.375925,17.68971,3.0227191,0.96,0.15597999,0.03971,0.0286,0.0555,213.026,1.253,0.204,0.287,0.051,0.094,1.8818840425531915
DLTR,Consumer Defensive,22745757696,21.122093,17.985147,6.1866374,1.558,0.20055,0.0529,-0.15799,0.04879,203.675,1.036,0.191,0.764,0.123,0.479,0.37547279749478085
D,Utilities,51533664256,19.722221,17.855028,1.9302734,6.611,0.09204,0.029790001,0.16790001,0.34504002,154.315,0.845,0.361,0.687,0.149,0.062,2.8798432258064515
DPZ,Consumer Cyclical,14416069632,24.818235,24.072563,-3.7618713,4.219,,0.33951,0.12159,0.18064,,1.609,0.773,1.151,0.031,0.301,0.7997529235880398
DASH,Consumer Cyclical,93518061568,110.14213,121.89887,9.847061,7.325,0.100430004,0.0312,0.0683,0.08009,34.255,2.045,1.032,1.696,0.273,0.459,2.6557488017429196
DOV,Industrials,25713483776,24.379713,19.923485,3.355587,3.437,0.15883,0.069,0.28370002,0.1869,40.076,2.042,1.362,1.312,0.048,-0.126,-1.5812289682539682
DOW,Basic Materials,16958909440,,7.672026,0.96681386,0.806,-0.05287,0.00723,-0.02769,0.01905,102.943,1.944,1.009,0.786,-0.083,-0.733,-0.10466611186903138
DHI,Consumer Cyclical,47240654848,13.6957655,9.947269,1.9289575,1.457,0.14321,0.08158,0.10468,0.124680005,24.514,6.421,0.642,1.386,-0.032,-0.222,-0.4480751801801802
DTE,Utilities,27320700928,19.72264,18.245493,2.247143,3.548,0.11658,0.02826,0.093439996,0.18968001,207.975,1.152,0.495,0.468,0.214,-0.124,-1.4714107258064515
DUK,Utilities,93078274048,18.819181,18.87855,1.8443354,5.896,0.09905,0.02854,0.15972,0.27125,170.344,0.629,0.243,0.477,0.048,0.127,1.4865000000000002
DD,Basic Materials,16557904896,22.843931,9.002278,0.72305465,1.893,0.03217,0.03462,-0.060110003,0.17773001,39.673,2.002,0.838,1.09,0.073,,
EMN,Basic Materials,7003629056,10.181971,7.010345,1.2050027,1.302,0.12116,0.049099997,0.07746,0.09673,89.235,1.756,0.818,1.253,-0.106,-0.739,-0.0948625845737483
ETN,Industrials,129679720448,33.344345,27.643982,6.8662653,5.261,0.20653,0.080290005,0.14741,0.19791001,59.661,1.28,0.708,1.159,0.101,0.024,11.518325833333334
EBAY,Consumer Cyclical,37889871872,18.383593,15.883143,7.9767175,3.848,0.42430001,0.0785,0.20366,0.21418,151.155,0.925,0.841,1.343,0.095,0.054,2.9413227777777777
ECL,Basic Materials,76831154176,38.92098,36.118668,11.5478735,5.23,0.21869,0.07754,0.12489,0.14715,103.915,1.697,1.259,0.989,0.178,,
EIX,Utilities,21986734080,7.4888597,10.024562,1.4175847,3.587,0.15765001,0.03238,0.16315001,0.32557,204.02,0.82,0.404,0.838,0.106,0.636,0.15761889937106918
EW,Healthcare,49733242880,37.153507,34.57551,4.820189,7.831,0.13492,0.07715,0.23249,0.27371,6.862,4.004,2.982,0.973,0.147,-0.903,-0.38289601328903655
EA,Communication Services,50831568896,59.253643,23.826496,8.446162,7.084,0.13201,0.06273,0.121429995,0.10875,36.65,0.838,0.721,0.757,-0.092,-0.514,-0.46355050583657587
ELV,Healthcare,74516004864,13.479431,9.468384,1.6717017,0.357,0.12569,0.04242,0.028399998,0.034649998,72.823,1.56,1.433,0.532,0.123,0.22,0.43038109090909094
EMR,Industrials,74199547904,32.714638,20.860758,3.6583607,4.79,0.09363,0.052389998,0.12728,0.20721,67.785,0.876,0.603,1.25,0.051,-0.353,-0.5909563172804533
ENPH,Technology,3810635008,19.945206,7.956284,3.8295634,2.358,0.20305,0.03931,0.12932,0.16433,123.979,2.042,1.518,1.419,0.078,0.517,0.1538933075435203
ETR,Utilities,41520115712,22.899015,12.011628,2.4919589,5.559,0.11188,0.03134,0.1421,0.30055,179.362,0.713,0.423,0.617,0.125,0.02,6.005814
EOG,Energy,59546038272,10.830189,9.860759,1.9582353,2.815,0.18476999,0.09086,0.24410999,0.33223,26.835,1.624,1.29,0.505,-0.024,-0.085,-1.160089294117647
EPAM,Technology,10748947456,29.509176,17.24665,2.8596196,1.808,0.10207,0.07743,0.070149995,0.10682,4.165,3.022,2.852,1.767,0.194,-0.194,-0.8890025773195874
EQT,Energy,36570324992,19.087948,23.253967,1.5796,6.251,0.08488,0.040939998,0.23097,0.34897,30.675,0.578,0.474,0.632,0.514,,
EFX,Industrials,25707595776,39.371696,22.175346,5.180358,5.098,0.13066,0.05905,0.1108,0.19950001,94.824,0.738,0.607,1.587,0.072,0.142,1.5616440845070425
EQIX,Real Estate,71418593280,66.670944,54.363228,5.0448036,9.954,0.077,0.03196,0.118,0.21851999,147.969,1.34,1.069,1.027,0.066,0.229,2.373940087336244
EQR,Real Estate,24392966144,20.388159,36.674553,2.1310687,10.597,0.10444,0.02558,0.37583,0.28955,76.237,0.165,0.085,0.763,0.046,1.009,0.3634742616451933
ERIE,Financial Services,15475186688,23.866938,22.085823,6.7025256,3.695,0.30444,0.15170999,0.16038,0.20115,2.353,1.669,1.551,0.386,0.067,0.144,1.5337377083333337
ESS,Real Estate,18008223744,19.842466,43.310635,2.9819186,12.333,0.15987,0.030580001,0.44167,0.33777002,115.144,0.457,0.125,0.733,0.062,0.389,1.1133839331619537
EL,Consumer Defensive,35906293760,,36.9037,9.230199,2.984,-0.20727,0.03847,-0.064380005,0.072680004,242.211,1.321,0.807,1.174,0.036,,
EG,Financial Services,13105968128,23.247206,4.6970057,0.8528673,0.637,0.03595,0.00746,0.031229999,0.07728,23.337,0.408,0.287,0.379,-0.009,-0.484,-0.09704557231404959
EVRG,Utilities,17157860352,20.419178,18.448019,1.667487,5.425,0.08454,0.02866,0.1445,0.36201,142.45,0.516,0.105,0.635,-0.001,0.005,36.896038
ES,Utilities,24878792704,18.31768,13.872384,1.5518007,4.153,0.0861,0.03173,0.102189995,0.22489001,184.357,0.715,0.306,0.759,0.051,,
EXC,Utilities,45449424896,16.129032,17.110266,1.6171345,3.86,0.10308,0.02853,0.116009995,0.22177,177.601,0.939,0.608,0.553,0.09,0.229,0.7471731877729256
EXE,Energy,28037337088,37.852093,27.764153,1.5446388,3.015,0.061189998,0.050669998,0.08043,0.29054,27.95,0.81,0.593,0.452,3.193,,
EXPE,Consumer Cyclical,32623800320,25.380173,18.36351,24.266129,2.358,0.53886,0.05079,0.096590005,0.25566998,250.289,0.744,0.619,1.457,0.087,0.454,0.4044825991189428
EXPD,Industrials,19880048640,23.856678,27.226765,8.608368,1.702,0.36505002,0.13853,0.07571,0.0995,24.549,1.794,1.58,1.162,-0.035,0.006,45.37794166666667
EXR,Real Estate,29366626304,29.646534,27.723848,2.0654938,12.435,0.06786,0.033469997,0.27735,0.46325,94.252,1.46,0.192,1.27,0.034,-0.142,-1.952383661971831
XOM,Energy,491893424128,16.770348,14.660737,1.8674133,1.601,0.11424,0.05108,0.091809995,0.11057,15.672,1.137,0.759,0.378,-0.051,-0.083,-1.7663538554216864
FFIV,Technology,13855535104,20.196444,15.488313,3.830416,4.136,0.20602,0.08291,0.22421,0.27135,7.288,1.562,1.4,0.988,0.085,0.164,0.9444093292682926
FDS,Financial Services,10413219840,17.884317,14.897216,4.791487,5.008,0.29132,0.111899994,0.25715,0.29707,71.282,1.4,1.2,0.748,0.062,0.728,0.20463208791208792
FICO,Technology,42695540736,67.12113,47.85338,-24.212324,22.668,,0.32619,0.32747,0.48099998,,0.83,0.781,1.296,0.136,0.179,2.6733731843575423
FAST,Industrials,46461005824,38.17925,18.479452,11.931015,5.838,0.32742,0.205,0.15336001,0.20696,13.283,4.259,1.964,0.882,0.117,0.115,1.6069088695652172
FRT,Real Estate,8471605760,24.771572,31.79153,2.7562058,10.757,0.10516,0.03276,0.27586,0.34465,138.76,0.369,0.352,1.02,0.06,-0.011,-28.901390909090914
FDX,Industrials,63795273728,15.848183,11.884396,2.2976186,,0.15004,0.048839998,0.046529997,0.0764,,1.246,1.144,1.341,0.139,-0.133,-0.8935636090225564
FIS,Technology,34894893056,208.75002,11.698774,2.5015917,4.5,0.011829999,0.04289,0.0146200005,0.2385,94.272,0.532,0.394,0.935,0.057,0.22,0.5317624545454546
FITB,Financial Services,28907489280,13.053732,11.980822,1.4947872,5.62,0.115109995,0.01129,0.29674,0.39780998,,,,1.011,0.067,0.167,0.7174144910179641
FSLR,Technology,28174825472,20.165897,12.586768,3.1252306,5.351,0.16864,0.0756,0.27728,0.29225,9.893,1.91,1.382,1.59,0.797,0.457,0.2754216192560175
FE,Utilities,26376208384,19.852175,15.799307,2.0609343,3.769,0.11192001,0.03247,0.09312,0.21263,193.669,0.747,0.58,0.652,0.112,0.045,3.5109571111111113
FI,Technology,34314950656,9.860897,7.6310306,1.3638307,3.005,0.1354,0.04773,0.17046,0.25385,120.581,1.08,0.237,0.794,0.009,0.49,0.15573531836734694
F,Consumer Cyclical,51639103488,11.076923,7.4057145,1.089625,0.967,0.10295,0.00833,0.024820002,0.03146,346.673,1.121,0.94,1.612,0.094,1.727,0.0428819600463231
FTNT,Technology,63554109440,34.131687,34.414936,83.77778,9.099,2.28043,0.13884,0.28584,0.31648,148.116,1.027,0.897,1.094,0.144,-0.114,-3.018854035087719
FTV,Technology,17979193344,20.92126,12.743405,2.5949798,3.172,0.103649996,0.04829,0.09621,0.15539,52.244,0.701,0.492,1.05,0.023,-0.742,-0.17174400269541779
FOXA,Communication Services,29411205120,14.887641,17.761395,2.413567,1.984,0.17272,0.087299995,0.12353,0.26323998,60.136,3.238,2.917,0.512,0.049,-0.258,-0.6884261627906977
FOX,Communication Services,27887448064,13.307866,25.2,2.1574557,1.794,0.17272,0.087299995,0.12353,0.26323998,60.136,3.238,2.917,0.512,0.049,-0.258,-0.9767441860465116
BEN,Financial Services,11680160768,24.637362,8.623077,0.96704626,1.604,0.03818,0.022550002,0.05985,0.17558001,23.699,4.097,1.091,1.496,0.06,,
FCX,Basic Materials,61701939200,30.048952,19.893518,3.3000538,3.015,0.14538999,0.07699,0.07969,0.28055,30.589,2.455,1.046,1.487,0.027,0.278,0.7155941726618704
GRMN,Technology,37955956736,24.343208,26.431635,4.4743466,5.125,0.19655001,0.11185,0.22625999,0.25795,2.342,3.316,2.004,1.006,0.117,0.005,52.86327
IT,Technology,17314715648,19.966812,17.332829,29.951527,2.771,1.0925701,0.096920006,0.1371,0.15773,512.089,0.878,0.747,1.075,0.027,-0.912,-0.1900529495614035
GE,Industrials,306806325248,38.627506,55.213745,16.222946,7.149,0.42131,0.049289998,0.18344,0.20598,115.246,1.077,0.717,1.401,0.238,0.193,2.8608158031088085
GEHC,Healthcare,36625408000,16.608696,17.17773,3.656669,2.149,0.24450001,0.05455,0.10945,0.14213,105.127,1.181,0.853,1.273,0.058,-0.041,-4.189690243902438
GEV,Industrials,163764486144,97.9772,87.18551,18.87843,4.19,0.16723,0.024260001,0.045229997,0.05738,11.101,1.029,0.65,,0.118,,
GEN,Technology,16188797952,28.846153,10.714286,6.5921645,5.426,0.25027,0.06864,0.12743,0.36475,356.98,0.505,0.391,1.111,0.253,-0.192,-0.5580357291666667
GNRC,Industrials,9114221568,29.695984,18.917173,3.4475029,2.368,0.11969,0.057550002,0.06921,0.0925,56.133,2.183,0.855,1.811,-0.05,-0.407,-0.4647954054054054
GD,Industrials,90706444288,21.791044,20.883083,3.706729,1.901,0.17782,0.05796,0.081829995,0.10459,40.419,1.4,0.783,0.403,0.106,0.158,1.3217141139240505
GIS,Consumer Defensive,24558120960,8.68242,9.772341,2.583385,1.982,0.30866,0.06216,0.15241,0.15602,151.352,0.658,0.346,-0.074,-0.068,1.155,0.084609012987013
GM,Consumer Cyclical,70130057216,14.057253,6.96878,1.0354232,0.974,0.04442,0.02014,0.01625,0.056739997,195.437,1.229,0.979,1.311,-0.003,-0.496,-0.14049959677419355
GPC,Consumer Cyclical,17938298880,22.156357,15.22432,3.747566,0.994,0.16994,0.04434,0.0336,0.0643,133.159,1.137,0.443,0.748,0.049,0.0,
GILD,Healthcare,153748389888,19.181114,16.676987,7.1446695,5.848,0.40706003,0.12571,0.27882,0.45231,116.243,1.453,1.105,0.334,0.03,1.43,0.11662228671328671
GPN,Industrials,19090753536,11.94082,6.1476564,0.8213816,3.287,0.07233,0.0325,0.17365,0.3184,69.198,0.855,0.413,0.824,0.005,1.131,0.05435593633952255
GL,Financial Services,10623612928,9.517416,9.6789665,1.8513552,2.225,0.22277,0.033069998,0.19363001,0.34092999,55.217,0.695,0.552,0.481,0.04,0.375,0.25810577333333334
GDDY,Technology,17764392960,22.122412,19.122206,189.24779,4.154,3.69454,0.08575,0.17013,0.23884001,4217.211,0.569,0.359,0.943,0.103,0.144,1.3279309722222223
GS,Financial Services,246781263872,16.55585,19.615255,2.3424296,-0.138,0.13532,0.009430001,0.29073998,0.37203997,586.142,1.657,1.49,1.35,0.207,0.458,0.42828067685589516
HAL,Energy,22943522816,17.821192,8.28,2.2234156,1.321,0.12788,0.0761,0.05913,0.12857,83.613,1.955,1.207,0.816,-0.017,-0.969,-0.08544891640866874
HIG,Financial Services,37986291712,11.046608,11.636521,2.0853593,1.36,0.20069,0.03482,0.12745,0.18916,23.675,1.796,1.056,0.637,0.07,0.473,0.24601524312896408
HAS,Consumer Cyclical,11458518016,,18.431152,28.194061,3.262,-0.62839,0.08862001,-0.12814,0.24584,771.392,1.705,1.235,0.549,0.083,0.031,5.945532903225806
HCA,Healthcare,117069291520,19.339388,20.379227,-21.554865,2.186,,0.12198,0.0853,0.15474,,0.854,0.644,1.376,0.096,0.426,0.47838561032863847
DOC,Real Estate,12536895488,,72.16,1.6502013,8.05,-0.00115,0.01588,-0.01359,0.18601999,114.248,3.653,1.474,1.098,0.008,,
HSIC,Healthcare,8691306496,22.608831,13.782693,2.5283098,1.027,0.08347999,0.042329997,0.03022,0.0614,70.224,1.396,0.597,0.905,0.052,0.077,1.7899601298701298
HSY,Consumer Defensive,37063036928,27.319881,21.758335,8.119503,3.624,0.31013,0.09329,0.118360005,0.13542,125.764,1.363,0.66,0.187,0.065,-0.382,-0.5695899214659685
HPE,Technology,28922347520,25.788235,10.438096,1.1846727,1.476,0.05356,0.02041,0.03773,0.05495,96.967,0.951,0.512,1.338,0.185,-0.452,-0.2309313274336283
HLT,Consumer Cyclical,66131779584,40.809868,35.19149,-13.286396,15.748,,0.09635,0.34188998,0.60327,,0.664,0.577,1.166,0.035,0.29,1.213499655172414
HOLX,Healthcare,16677769216,30.048193,15.851696,3.2987964,4.17,0.11116,0.07299,0.13796,0.32736,52.037,3.754,2.872,0.705,0.062,0.111,1.428080720720721
HD,Consumer Cyclical,352440942592,24.149385,22.694231,29.073664,2.508,1.62909,0.13226,0.087740004,0.12945,544.586,1.051,0.246,1.046,0.028,-0.014,-16.210164999999996
HON,Industrials,130157928448,20.374474,17.543142,7.3071537,3.65,0.34616002,0.066589996,0.1507,0.18505,215.247,1.358,0.985,0.945,0.07,0.324,0.541455
HRL,Consumer Defensive,12699464704,16.854015,13.662722,1.571069,1.239,0.09442,0.048410002,0.06257,0.08015,35.301,2.469,1.074,0.333,0.046,0.031,4.407329677419355
HST,Real Estate,12210985984,16.537737,18.072165,1.8098288,2.909,0.109239995,0.039189998,0.12403,0.073520005,82.827,1.021,0.97,1.209,0.009,0.966,0.18708245341614907
HWM,Industrials,78994644992,55.284508,61.911667,15.545346,10.239,0.30064,0.112840004,0.18181999,0.25658,65.176,2.353,0.962,1.319,0.138,0.173,3.578709075144509
HPQ,Technology,23622713344,9.490565,6.986111,-68.15718,0.535,,0.05546,0.045739997,0.0735,,0.767,0.321,1.221,0.042,-0.104,-0.6717414423076923
HUBB,Industrials,22718318592,26.73421,24.124155,6.1713037,4.256,0.24991,0.09993,0.15123,0.22591,58.21,1.358,0.774,0.996,0.041,0.141,1.7109329787234044
HUM,Healthcare,29101273088,22.63424,14.368172,1.5711689,0.158,0.07159,0.045760002,0.01022,0.02043,69.686,2.024,1.533,0.455,0.111,-0.593,-0.24229632377740304
HBAN,Financial Services,26078740480,11.58042,12.358209,1.2383159,4.177,0.10434,0.01091,0.29619,0.38561,,,,0.981,0.148,0.242,0.5106697933884298
HII,Industrials,12054968320,21.186207,19.591837,2.4187071,1.221,0.12387,0.039330002,0.04737,0.06172,58.708,1.139,1.03,0.367,0.161,0.439,0.44628330296127566
IBM,Technology,282084409344,35.96901,28.44298,10.108867,5.105,0.30156,0.0635,0.120900005,0.1717,237.831,0.932,0.775,0.688,0.091,,
IEX,Industrials,13182804992,27.705696,20.551643,3.2738152,4.221,0.12197,0.063990004,0.13974,0.21418,48.121,2.934,1.94,1.002,0.101,0.083,2.47610156626506
IDXX,Healthcare,58621837312,58.15317,61.26505,37.547016,14.257,0.64633006,0.24065,0.24654,0.32106,71.29,1.18,0.737,1.687,0.133,0.214,2.862852803738318
ITW,Industrials,72402771968,24.091173,23.213085,22.461567,5.041,0.91683,0.16416,0.19052,0.27667,278.654,1.53,1.011,1.153,0.023,-0.281,-0.826088434163701
INCY,Healthcare,19914975232,17.19322,16.521173,4.2774615,3.538,0.30389,0.13537,0.24695,0.31633,0.887,3.195,2.858,0.826,0.2,2.907,0.05683238046095632
IR,Industrials,31470290944,58.65185,22.367231,3.0905542,4.694,0.05382,0.05091,0.07309,0.20476,47.62,2.162,1.362,1.331,0.051,0.13,1.7205562307692308
PODD,Healthcare,21751293952,90.08746,79.84496,15.704411,8.746,0.19679001,0.08741,0.097629994,0.16664,77.711,2.871,1.883,1.379,0.299,0.148,5.39492972972973
INTC,Technology,207351906304,724.50006,44.814434,1.9475807,4.366,0.0018600001,-0.00463,0.0037099998,0.06284,39.881,1.602,1.057,1.346,0.028,,
