ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth
MMM,Industrials,89204817920,26.753992,21.199999,19.224058,3.908,0.72920996,0.07971,0.137,0.24367,281.904,1.842,1.027,1.148,0.035,-0.375
AOS,Industrials,9533015040,18.336927,16.714987,5.1355023,2.486,0.28209,0.13878,0.13851,0.18631001,12.063,1.544,0.894,1.335,0.044,0.146
ABT,Healthcare,217696616448,15.713568,24.24031,4.268505,5.087,0.3062,0.067930005,0.3188,0.19395,25.31,1.703,1.088,0.714,0.069,0.0
ABBV,Healthcare,399570305024,172.58015,18.638088,-151.22408,7.759,1.37961,0.09585,0.04004,0.35497,,0.725,0.468,0.349,0.091,-0.887
ACN,Technology,166046285824,21.92352,18.947407,5.314263,2.34,0.25509,0.111829996,0.11021,0.1522,25.38,1.42,1.301,1.261,0.073,-0.155
ADBE,Technology,146883493888,21.600748,16.849636,12.355838,6.283,0.52875,0.18094,0.30012,0.36289,56.542,1.019,0.87,1.54,0.107,0.112
AMD,Technology,354864234496,113.52605,42.739216,5.8374395,10.975,0.05317,0.025980001,0.10323,0.13736,6.366,2.308,1.176,1.927,0.356,0.603
AES,Utilities,9912723456,9.157895,6.857143,2.564953,3.863,0.05106,0.02269,0.0874,0.20501,302.896,0.723,0.376,1.001,0.019,0.253
AFL,Financial Services,58446385152,14.360052,15.241282,2.0025654,3.53,0.1558,0.02645,0.23552,0.4327,50.003,1.089,0.993,0.658,0.607,
A,Healthcare,41246478336,31.835886,25.750443,6.109175,6.152,0.20618999,0.07524,0.18754,0.23804002,49.755,1.957,1.396,1.274,0.094,0.249
APD,Basic Materials,58027048960,,18.397318,3.862017,6.39,-0.01923,-0.0126,-0.03277,-0.89169,106.228,1.381,0.999,0.863,-0.006,-0.998
ABNB,Consumer Cyclical,76113133568,29.6,27.626667,8.779041,5.524,0.30776,0.07475,0.2203,0.39683,26.458,1.392,0.845,1.118,0.097,0.038
AKAM,Technology,12011308032,24.48387,12.498503,2.5366104,3.901,0.10642,0.03785,0.12262999,0.15743,110.548,2.281,1.983,0.682,0.05,1.553
ALB,Basic Materials,14734555136,,68.03804,1.8984578,3.856,0.00209,0.0014,-0.00428,-0.02244,36.655,2.273,1.384,1.431,-0.035,
ARE,Real Estate,7860083712,,13.22093,0.46558768,8.408,-0.01084,0.010670001,-0.13436,0.19073,66.083,1.579,1.363,1.329,-0.05,
ALGN,Healthcare,11395581952,30.467056,15.322613,2.861798,2.61,0.095769994,0.06323,0.095010005,0.15673,3.064,1.289,1.091,1.859,0.018,-0.497
ALLE,Industrials,13685962752,21.497297,20.421053,7.0305386,3.931,0.36411,0.10391,0.16092,0.21856001,116.084,1.771,1.014,1.043,0.107,0.095
LNT,Utilities,16837017600,20.597485,20.278637,2.3042285,6.552,0.11461,0.027209999,0.19139,0.28843,163.145,0.825,0.554,0.654,0.119,-0.052
ALL,Financial Services,53299224576,6.556564,10.629006,2.0778887,0.798,0.34469002,0.05093,0.12533,0.24439,29.43,0.426,0.288,0.249,0.038,2.222
GOOGL,Communication Services,3891261341696,31.746046,35.856026,10.029345,9.916,0.3545,0.16275999,0.32233003,0.30512,11.424,1.747,1.563,1.07,0.159,0.353
GOOG,Communication Services,3888216801280,31.733006,35.98771,10.054943,9.942,0.3545,0.16275999,0.32233003,0.30512,11.424,1.747,1.563,1.07,0.159,0.353
MO,Consumer Defensive,97416880128,11.066794,10.839252,-36.79569,5.932,,0.22268,0.4398,0.62826,,0.618,0.449,0.5,-0.017,0.052
AMZN,Consumer Cyclical,2453725249536,32.465347,37.32195,6.636308,3.645,0.24327,0.07495,0.11063,0.11057,43.405,1.009,0.76,1.372,0.134,0.364
AMCR,Consumer Cyclical,19159388160,27.666666,10.50633,1.6325728,1.96,0.07467,0.03593,0.03345,0.09713,134.68,1.042,0.52,0.681,0.713,-0.144
AEE,Utilities,27011622912,19.203848,20.296747,2.1136181,5.47,0.11387,0.02931,0.1634,0.34,155.736,0.93,0.461,0.581,0.248,0.382
AEP,Utilities,62915121152,17.209372,19.955858,2.069767,5.203,0.12923001,0.03209,0.17228001,0.25885,152.132,0.686,0.419,0.598,0.109,0.006
AXP,Financial Services,257719992320,24.872396,24.49405,7.871581,4.007,0.33935001,0.03708,0.16143999,0.22052999,185.273,1.602,1.579,1.147,0.122,0.186
AIG,Financial Services,42674913280,13.854317,11.47988,1.0208598,1.469,0.07688,0.017819999,0.120170005,0.15235,22.48,0.617,0.214,0.626,-0.041,0.323
AMT,Real Estate,83751411712,28.48089,26.341679,21.189432,12.78,0.28839,0.04733,0.28106,0.45477,418.09,0.59,0.492,0.915,0.077,
AWK,Utilities,25268502528,22.759226,22.7193,2.3167198,7.969,0.10457,0.035520002,0.21933001,0.42591,140.983,0.421,0.31,0.751,0.097,0.081
AMP,Financial Services,44973195264,13.124072,12.349469,6.8826914,2.057,0.59589,0.022219999,0.19586,0.37298,54.222,2.433,1.554,1.263,0.073,0.866
AME,Industrials,46144602112,31.563982,27.369864,4.369314,6.742,0.14632,0.07488,0.20502001,0.25787002,26.09,1.155,0.66,1.047,0.108,0.088
AMGN,Healthcare,177639391232,25.513535,15.959846,18.467783,6.193,0.8171,0.07706,0.19474001,0.34153,567.491,1.28,0.823,0.447,0.124,0.136
APH,Technology,170584375296,46.453335,64.51852,13.620015,8.337,0.34807998,0.14032,0.18218,0.27481002,63.99,2.07,1.409,1.194,0.534,1.021
ADI,Technology,137734815744,61.686405,37.306366,4.073125,12.981,0.06573,0.03891,0.20575,0.30501,26.5,2.19,1.568,1.039,0.259,0.661
AON,Financial Services,74434306048,27.616001,19.85049,9.357296,5.339,0.3769,0.05587,0.15962,0.20365,214.88,1.058,0.222,0.833,0.074,0.344
APA,Energy,9696013312,6.483254,9.854546,1.6157883,1.56,0.27427998,0.099259995,0.16093999,0.27281,66.895,0.775,0.585,0.755,-0.164,
APO,Financial Services,80173776896,20.10626,16.288916,3.6877937,3.671,0.16549,0.0144299995,0.15777001,0.29920998,94.598,1.986,1.875,1.605,0.264,1.153
AAPL,Technology,4137203793920,37.319946,33.54753,55.85654,10.037,1.7142199,0.22964,0.26915002,0.31647,152.411,0.893,0.771,1.107,0.079,0.912
AMAT,Technology,213500166144,30.946882,27.65738,10.423149,7.43,0.35508,0.14974,0.24669,0.27838,32.109,2.61,1.72,1.666,-0.035,0.135
APTV,Consumer Cyclical,16630317056,57.85606,10.941261,1.7817233,1.157,0.03294,0.057729997,0.01464,0.114350006,85.425,1.793,1.215,1.516,0.074,
ACGL,Financial Services,34231764992,8.596064,10.146018,1.4657142,1.699,0.17811,0.03899,0.20959,0.30691,11.501,0.564,0.277,0.447,0.082,0.391
ADM,Consumer Defensive,28358418432,23.987804,11.639052,1.2592024,0.44,0.05242,0.0175,0.01429,0.01949,40.467,1.372,0.369,0.686,0.022,4.891
ANET,Technology,161931476992,48.70833,13.215828,13.598772,17.971,0.31736,0.14658,0.3973,0.42378,,3.254,2.485,1.411,0.275,0.155
AJG,Financial Services,61558726656,38.29233,21.250887,2.6526864,6.118,0.090670004,0.023020001,0.13257,0.17212,58.979,1.055,0.167,0.688,0.2,-0.252
AIZ,Financial Services,11245844480,13.589634,12.436942,1.9427809,0.9,0.15413,0.020539999,0.06753,0.11153,38.316,0.41,0.146,0.573,0.089,1.027
T,Communication Services,180761755648,8.234529,11.285714,1.6233225,2.708,0.19139999,0.040209997,0.17870001,0.2158,124.412,1.013,0.707,0.593,0.016,
ATO,Utilities,27696451584,22.930387,23.990196,2.0411105,7.825,0.09323,0.037130002,0.2549,0.30696,68.616,0.773,0.431,0.747,0.121,0.256
ADSK,Technology,65335619584,59.56116,33.41394,22.478382,9.505,0.40333998,0.097449996,0.16129999,0.25688,94.504,0.823,0.654,1.475,0.18,0.26
ADP,Technology,105983565824,25.827246,24.068998,16.619871,5.166,0.70572996,0.06624,0.19788,0.25891,154.917,1.054,0.266,0.86,0.071,0.064
AZO,Consumer Cyclical,63704629248,26.385006,21.92898,-18.658134,4.006,,0.12353,0.13191,0.19159001,,0.876,0.101,0.405,0.006,-0.056
AVB,Real Estate,25347026944,21.683313,32.133575,2.1089168,11.148,0.09754,0.02813,0.38122,0.2928,73.165,0.707,0.09,0.743,0.044,0.024
AVY,Consumer Cyclical,13861383168,20.355278,17.046577,6.289633,1.945,0.30211002,0.08288,0.07932,0.12687999,171.013,1.264,0.793,1.015,0.015,-0.053
AXON,Industrials,43475722240,175.46178,88.86291,14.355507,16.861,0.10028,-0.00032000002,0.100509994,-0.00229,69.33,3.124,2.729,1.395,0.306,
BKR,Energy,48549277696,16.965517,19.14397,2.6728964,1.88,0.1689,0.057729997,0.104329996,0.13524,33.042,1.409,0.744,0.892,0.015,-0.208
BALL,Consumer Cyclical,13343460352,19.077822,13.889518,2.4279487,1.585,0.117469996,0.04535,0.05357,0.11542,138.426,1.105,0.675,1.135,0.096,0.811
BAC,Financial Services,399604809728,14.740437,14.740437,1.42157,4.03,0.09871,0.00881,0.29224002,0.35292998,,,,1.304,0.126,0.315
BAX,Healthcare,9530595328,,6.4375,1.3159204,1.587,-0.04658,0.02849,-0.030940002,0.10123,134.627,1.837,0.954,0.607,0.05,
BDX,Healthcare,55594262528,33.32646,12.33058,2.1802568,3.422,0.06544,0.041739997,0.07683,0.17858,78.85,1.113,0.438,0.277,0.083,0.252
BRK-B,Financial Services,1088030244864,16.128557,25.116533,0.0010392884,-0.676,0.1017,0.04775,0.18129,0.41103,18.166,2.722,2.55,0.703,0.021,0.172
BBY,Consumer Cyclical,15675583488,24.478548,10.843567,5.871131,0.444,0.22493,0.06519,0.015420001,0.039809998,154.542,1.045,0.208,1.391,0.024,-0.476
TECH,Healthcare,9610527744,125.87755,28.164383,4.886706,8.104,0.038,0.060900003,0.06409,0.1451,20.067,4.217,2.275,1.463,-0.01,0.143
BIIB,Healthcare,26597122048,16.526892,10.882353,1.4607539,2.904,0.09307,0.057490002,0.1598,0.30718002,36.194,2.716,1.766,0.128,0.028,0.192
BLK,Financial Services,166346604544,27.62587,21.836254,2.9956973,7.653,0.120740004,0.034140002,0.26638,0.3214,24.32,2.256,1.661,1.484,0.252,-0.226
BX,Financial Services,186696990720,43.721264,26.097769,14.190449,11.226,0.26457,0.121190004,0.2117,0.44629002,65.942,1.004,0.941,1.762,-0.196,-0.214
XYZ,Technology,37251678208,12.295775,18.618042,1.6541699,1.519,0.14692001,0.0226,0.13081001,0.06871,36.049,2.183,1.257,2.658,0.023,0.644
BK,Financial Services,80411557888,16.453102,17.460949,2.0365078,-0.773,0.121520005,0.01194,0.26568002,0.37402,,,,1.12,0.1,0.253
BA,Industrials,153455673344,,429.5532,-18.576555,2.314,,-0.035099998,-0.12197,-0.204,,1.182,0.335,1.175,0.304,
BKNG,Consumer Cyclical,168435482624,33.784306,24.7655,-35.451447,6.481,,0.20249,0.19371,0.44904998,,1.334,1.262,1.254,0.127,0.135
BSX,Healthcare,144567730176,52.14973,34.953403,6.1791916,8.04,0.12488,0.05756,0.1443,0.20731,50.973,1.508,0.77,0.674,0.203,0.6
BMY,Healthcare,106164527104,17.558924,7.4182076,5.723222,2.93,0.33777002,0.0939,0.12572,0.31566,274.414,1.266,1.106,0.302,0.028,0.809
AVGO,Technology,1842855673856,100.06153,63.24797,6.5895543,3.167,0.27083,0.08895001,0.31592,0.31765,166.032,1.497,1.279,1.204,0.164,1.881
BR,Technology,27083128832,29.670076,24.814972,10.275465,4.29,0.38215,0.09519,0.13112001,0.118719995,132.063,0.927,0.798,0.994,0.117,1.059
BRO,Financial Services,26757148672,23.748486,19.16137,2.1322849,6.284,0.10695,0.03938,0.18691999,0.24129,64.746,1.182,0.472,0.815,0.342,-0.161
BF-B,Consumer Defensive,14386485248,17.777777,16.0,3.450624,4.219,0.20666,0.08208,0.20828,0.2944,64.03,2.974,0.961,0.403,-0.054,-0.139
BLDR,Industrials,12164970496,20.874763,9.442919,2.8177347,1.083,0.13555999,0.057589997,0.03795,0.05805,117.723,1.786,1.083,1.565,-0.069,-0.549
BG,Consumer Defensive,18731806720,10.543919,10.067741,1.148482,0.57,0.09758,0.02592,0.02201,0.02194,102.816,1.66,0.476,0.778,0.716,-0.46
BXP,Real Estate,12255392768,,37.048126,2.1949751,8.754,-0.01883,0.02379,-0.058509998,0.28563,231.148,1.101,0.984,1.008,0.018,
CHRW,Industrials,18573527040,31.82591,33.02941,10.025507,1.208,0.34318,0.095790006,0.03636,0.05578,80.904,1.585,1.516,0.906,-0.109,0.675
CDNS,Technology,91973541888,86.99226,49.274452,17.671728,17.539,0.21736,0.11089,0.20354,0.35089,47.685,3.048,2.685,1.051,0.101,0.207
CZR,Consumer Cyclical,4833723392,,17.343283,1.2596889,2.624,-0.04259,0.03948,-0.0212,0.17881,647.396,0.778,0.567,2.048,-0.002,
CPT,Real Estate,11099860992,42.05668,64.12345,2.4828508,9.404,0.059310004,0.01989,0.1705,0.15994,81.136,0.052,0.038,0.825,0.021,
CPB,Consumer Defensive,8820578304,14.726368,8.680352,2.2605774,1.551,0.15636,0.06123,0.058709998,0.13098,184.734,0.768,0.246,-0.057,0.012,
COF,Financial Services,147523846144,78.73037,14.730523,1.3527952,5.18,0.01615,0.0024899999,0.04899,0.38719,,,,1.166,0.679,0.095
CAH,Healthcare,47241023488,30.034744,23.012732,-16.436306,0.221,,0.03438,0.00681,0.01205,,0.957,0.456,0.635,0.224,0.106
KMX,Consumer Cyclical,5825801216,11.384164,10.297082,0.9245499,0.866,0.084180005,0.01864,0.01843,0.021440001,311.84,2.461,0.317,1.292,-0.053,-0.248
CCL,Consumer Cyclical,35076669440,13.335052,15.040698,2.8456717,2.29,0.25733998,0.05284,0.10069,0.27867,233.568,0.338,0.241,2.536,0.033,0.06
CARR,Industrials,46202032128,33.93125,17.858553,3.1578643,2.583,0.0998,0.03812,0.18052,0.09554,83.159,1.141,0.655,1.298,-0.068,0.005
CAT,Industrials,282572423168,30.963552,27.231152,13.6640005,4.904,0.46283,0.08201,0.14339,0.17746,201.046,1.384,0.784,1.563,0.095,-0.036
CBOE,Financial Services,26449946624,27.178493,27.533768,5.4141583,5.749,0.21621001,0.09729,0.21287,0.32846,32.645,1.718,0.903,0.353,0.081,0.377
CBRE,Real Estate,47870808064,39.816833,26.81,5.524228,1.422,0.14091,0.044299997,0.031229999,0.04923,104.121,1.127,0.883,1.337,0.135,0.658
CDW,Technology,19167633408,18.489254,14.451581,7.5034633,1.117,0.43007,0.07037,0.04757,0.07774,239.737,1.39,1.244,1.063,0.04,-0.056
COR,Healthcare,65891811328,42.72453,20.761614,43.680557,0.221,1.23751,0.03259,0.00484,0.0114400005,534.1,0.903,0.512,0.633,0.059,
CNC,Healthcare,18844801024,,5.446023,0.8994089,0.103,-0.2186,0.020079998,-0.03155,0.0054699997,83.51,1.084,1.04,0.476,0.215,
CNP,Utilities,25089728512,24.322784,22.086206,2.2736955,5.13,0.09606,0.02901,0.11367,0.2495,202.111,0.513,0.336,0.558,0.071,0.506
CF,Basic Materials,12614453248,9.41717,12.601942,2.5326004,2.457,0.21967,0.09551,0.20472,0.33936,44.133,2.273,1.863,0.679,0.211,0.416
CRL,Healthcare,9070903296,,17.92899,2.6636317,2.868,-0.021879999,0.043449998,-0.020450002,0.15772,76.251,1.366,0.839,1.635,-0.005,-0.173
SCHW,Financial Services,170303881216,21.971897,24.689474,3.932928,6.069,0.17046,0.01768,0.35930002,0.49242002,99.789,0.59,0.59,0.956,0.266,0.775
CHTR,Communication Services,28014813184,5.6877427,5.732253,1.7302322,2.32,0.31327,0.05546,0.092939995,0.23858999,497.907,0.375,0.313,1.065,-0.009,-0.054
CVX,Energy,302223360000,21.097046,13.586957,1.5909381,1.81,0.07316,0.04047,0.06767,0.098529994,21.239,1.152,0.72,0.673,-0.014,-0.266
CMG,Consumer Cyclical,45509636096,30.035397,25.908398,13.967077,4.109,0.44958,0.13583,0.13036,0.16134001,154.574,1.542,1.415,0.991,0.075,0.022
CB,Financial Services,117613641728,12.332776,12.494705,1.6188954,2.371,0.1364,0.029679999,0.16442,0.25623,30.958,0.38,0.176,0.522,0.091,0.226
CHD,Consumer Defensive,20589807616,26.662458,22.659517,4.8052754,3.646,0.18594,0.07856,0.12742,0.16057,56.855,1.086,0.607,0.454,0.05,
CI,Healthcare,70905880576,11.750332,8.475096,1.6927708,0.366,0.15538,0.0395,0.02293,0.04,81.021,0.828,0.687,0.263,0.095,1.654
CINF,Financial Services,25379893248,12.075893,22.141884,1.6434445,2.036,0.14529,0.04305,0.17569,0.38272,5.732,1.118,0.929,0.695,0.122,0.367
CTAS,Industrials,75251007488,41.5,39.903847,15.823589,7.349,0.42187,0.15977,0.17538,0.22731,56.254,2.239,1.034,0.963,0.087,0.091
CSCO,Technology,308066844672,30.104248,19.992308,6.55045,5.58,0.22418,0.06646,0.17902,0.23604,63.228,0.927,0.718,0.864,0.075,0.06
C,Financial Services,200436957184,15.292134,15.143254,1.0043447,0.41,0.06995,0.0058399998,0.19488001,0.30606002,,,,1.196,0.116,0.232
CFG,Financial Services,23922614272,15.535014,14.3307495,1.0088773,3.259,0.067140006,0.0077,0.22894,0.32026002,,,,1.106,0.136,0.364
CLX,Consumer Defensive,12795741184,16.46782,14.389575,-579.55804,2.343,4.43646,0.114630006,0.11682,0.08328,2230.435,0.759,0.389,0.568,-0.189,-0.187
CME,Financial Services,97675657216,26.247093,26.12054,3.4576647,15.485,0.13346,0.01601,0.58946997,0.63386,13.372,1.021,0.021,0.293,-0.03,-0.004
CMS,Utilities,21634091008,20.48703,19.857542,2.503786,4.839,0.11233,0.03254,0.12622,0.26174998,191.634,0.899,0.425,0.471,0.16,0.092
KO,Consumer Defensive,301256704000,23.178808,23.569023,9.637891,7.039,0.42442,0.08959,0.2734,0.32373002,144.771,1.211,0.877,0.393,0.051,0.301
CTSH,Technology,39423320064,18.685184,16.176353,2.6171255,1.811,0.14501001,0.101560004,0.10203,0.15993,7.854,2.358,1.965,0.967,0.074,-0.521
COIN,Financial Services,72731025408,23.31288,75.55463,4.5238495,9.598,0.26005,0.00873,0.43664002,0.25254,48.559,2.404,1.105,3.691,0.589,4.306
CL,Consumer Defensive,63097798656,21.868347,20.22539,73.51224,3.496,2.93635,0.15337,0.1447,0.2023,680.048,0.93,0.505,0.295,0.019,0.011
CMCSA,Communication Services,100834156544,4.536545,6.2351594,1.0280443,1.539,0.24186,0.051069997,0.18333,0.17735,101.462,0.882,0.689,0.829,-0.027,-0.042
CAG,Consumer Defensive,8155895296,9.632768,6.3382897,0.9147486,1.374,0.096540004,0.046669997,0.07424,0.11688,92.867,1.058,0.401,-0.016,-0.058,-0.649
COP,Energy,117013413888,13.233051,11.667498,1.7832468,2.17,0.15421,0.080979995,0.14445,0.19543,36.169,1.323,0.999,0.328,0.14,-0.216
ED,Utilities,34866380800,16.888113,17.188612,1.4429325,3.698,0.08839,0.03264,0.122700006,0.25342,110.373,1.075,0.694,0.362,0.107,0.124
STZ,Consumer Defensive,24781875200,20.693314,9.38497,3.322055,3.707,0.15912,0.0896,0.12705,0.36413,135.429,1.083,0.383,0.459,-0.15,
CEG,Utilities,112409772032,41.16934,40.203354,7.8301744,4.742,0.19839,0.0388,0.11026,0.16332,61.51,1.563,1.144,1.138,0.003,-0.223
COO,Healthcare,16240318464,39.901962,19.950981,1.9354686,4.551,0.045939997,0.03474,0.09161,0.13539,33.785,1.893,0.844,1.049,0.046,-0.282
CPRT,Industrials,37481644032,23.754602,22.252874,3.904013,6.951,0.18124,0.1142,0.34243,0.37289003,1.039,7.939,7.685,1.119,0.007,0.108
GLW,Technology,73707274240,55.10898,37.216454,6.021573,5.479,0.12739,0.044239998,0.09159,0.14561,76.51,1.556,0.745,1.109,0.209,
CPAY,Technology,21935652864,21.103262,14.005411,5.338466,6.499,0.29097,0.06309,0.24365999,0.44617,201.153,1.134,0.722,0.847,0.139,0.003
CTVA,Basic Materials,44820602880,26.720648,20.560747,1.771099,2.669,0.06705,0.03805,0.09187999,-0.10313,17.175,1.578,0.998,0.738,0.126,
CSGP,Real Estate,28824188928,1133.5,60.723217,3.3430004,9.17,0.00252,-0.00398,0.00664,-0.061300002,13.126,3.121,2.839,0.839,0.204,
COST,Consumer Defensive,396770082816,49.02356,45.46138,13.597374,1.421,0.30686,0.08833,0.02943,0.03878,34.066,1.034,0.498,0.982,0.081,0.11
CTRA,Energy,20902404096,12.680554,11.755365,1.421823,3.733,0.118549995,0.06279,0.24691999,0.28043,27.957,1.025,0.887,0.309,0.349,0.235
CRWD,Technology,128496566272,,119.91335,32.13443,27.412,-0.088149995,-0.02001,-0.06882,-0.05589,20.154,1.811,1.615,1.094,0.222,
CCI,Real Estate,38879563776,,33.31343,-26.013987,10.654,-2.06679,0.03974,-0.71931,0.49254,,0.259,0.095,0.959,-0.043,0.066
CSX,Industrials,67673251840,23.571428,17.881773,5.3000436,6.145,0.22589001,0.07007,0.20548001,0.35071,155.283,0.847,0.67,1.299,-0.009,-0.196
CMI,Industrials,70488211456,26.45855,22.6754,5.8428774,2.281,0.22767,0.079050004,0.079450004,0.12132,62.949,1.769,0.931,1.104,-0.016,-0.341
CVS,Healthcare,96007176192,199.0263,11.671296,1.3170451,0.426,0.0057800002,0.02498,0.0011999999,0.022650002,111.821,0.832,0.594,0.48,0.078,
DHR,Healthcare,162006663168,46.553497,26.998806,3.128976,7.271,0.06843,0.040570002,0.14435,0.2075,35.544,1.519,0.835,0.923,0.044,0.134
DRI,Consumer Cyclical,20721246208,19.048231,16.829544,9.294979,2.306,0.50411,0.07475,0.08898,0.09879,361.727,0.397,0.13,0.656,0.104,0.261
DDOG,Technology,53095059456,504.69998,74.58621,15.432678,15.641,0.03519,-0.00503,0.033239998,-0.00656,37.199,3.663,3.551,1.234,0.284,-0.337
DVA,Healthcare,8393384960,12.127066,10.416148,-14.569939,1.67,0.61618,0.07007,0.05796,0.14832,953.093,1.363,1.234,0.994,0.048,-0.184
DAY,Technology,11053615104,,31.253393,4.101057,6.155,-0.05706,-0.00205,-0.07912,-0.25831,45.53,1.043,0.18,1.2,0.095,
DECK,Consumer Cyclical,14789832704,14.814264,15.6761,5.9063983,2.568,0.43312,0.21533,0.19364001,0.2282,14.22,3.067,2.024,1.186,0.091,0.144
DE,Industrials,128436199424,25.709415,21.430311,4.9488564,4.068,0.20427999,0.03816,0.110039994,0.12627,245.842,2.222,2.006,1.007,0.131,-0.137
DELL,Technology,93399351296,18.15817,14.77766,-35.79232,1.106,,0.05835,0.05005,0.07847,,0.853,0.549,1.109,0.108,0.443
DAL,Industrials,43813797888,9.464033,9.558404,2.312358,0.982,0.28514,0.04749,0.07357,0.0992,117.299,0.398,0.262,1.376,0.064,0.102
DVN,Energy,23785957376,8.837265,8.401345,1.5354041,1.867,0.18586999,0.08022001,0.16424999,0.24194999,56.274,0.957,0.758,0.673,0.071,-0.162
DXCM,Healthcare,25682247680,36.38333,32.26108,9.369099,5.491,0.30635,0.07017,0.15958999,0.20053,94.479,1.565,1.346,1.515,0.216,1.099
FANG,Energy,45912498176,11.137641,10.833334,1.1640025,4.656,0.10901,0.051009998,0.28689,0.36628,35.66,0.623,0.431,0.612,0.42,0.1
DLR,Real Estate,57606828032,42.787014,136.14049,2.5348146,12.971,0.05825,0.010650001,0.23959999,0.13333,79.248,1.304,1.275,1.123,0.111,0.603
DG,Consumer Defensive,29135433728,22.901382,21.281351,3.5592902,1.054,0.16450001,0.04191,0.03033,0.03999,201.663,1.171,0.183,0.276,0.046,0.438
DLTR,Consumer Defensive,24973821952,23.189394,20.20462,7.092215,1.657,0.20066999,0.05111,-0.15397,0.06725,221.055,0.959,0.153,0.752,0.094,0.106
D,Utilities,49945391104,19.11438,17.304733,1.8707821,6.511,0.09204,0.029790001,0.16790001,0.34504002,154.315,0.845,0.361,0.68,0.149,0.062
DPZ,Consumer Cyclical,14141422592,24.33119,23.613945,-3.690202,4.159,,0.33951,0.12159,0.18064,,1.609,0.773,1.145,0.031,0.301
DASH,Consumer Cyclical,96974667776,113.63636,126.404495,10.211028,7.598,0.100430004,0.0312,0.0683,0.08009,34.255,2.045,1.032,1.716,0.273,0.459
DOV,Industrials,26208608256,24.88151,20.30712,3.4202,3.499,0.15883,0.069,0.28370002,0.1869,40.076,2.042,1.362,1.309,0.048,-0.126
DOW,Basic Materials,16319217664,,7.3826365,0.9303456,0.79,-0.05287,0.00723,-0.02769,0.01905,102.943,1.944,1.009,0.784,-0.083,-0.733
DHI,Consumer Cyclical,47288352768,13.721453,9.957313,1.9309051,1.459,0.14321,0.08158,0.10468,0.124680005,24.514,6.421,0.642,1.38,-0.032,-0.222
DTE,Utilities,27254239232,19.674662,18.201109,2.2416766,3.543,0.11658,0.02826,0.093439996,0.18968001,207.975,1.152,0.495,0.467,0.214,-0.124
DUK,Utilities,90613088256,18.349606,18.378548,1.795488,5.817,0.09905,0.02854,0.15972,0.27125,170.344,0.629,0.243,0.477,0.048,0.127
DD,Basic Materials,16972689408,23.416183,9.22779,0.7411676,1.925,0.03217,0.03462,-0.060110003,0.17773001,39.673,2.002,0.838,1.137,0.073,
EMN,Basic Materials,7065638400,10.27212,7.072414,1.2156715,1.309,0.12116,0.049099997,0.07746,0.09673,89.235,1.756,0.818,1.247,-0.106,-0.739
ETN,Industrials,131451035648,33.7998,28.021576,6.960053,5.328,0.20653,0.080290005,0.14741,0.19791001,59.661,1.28,0.708,1.168,0.101,0.024
EBAY,Consumer Cyclical,37688791040,18.28603,15.798851,7.9343853,3.83,0.42430001,0.0785,0.20366,0.21418,151.155,0.925,0.841,1.341,0.095,0.054
ECL,Basic Materials,73654550528,37.311783,34.62533,11.070424,5.028,0.21869,0.07754,0.12489,0.14715,103.915,1.697,1.259,0.982,0.178,
EIX,Utilities,22355007488,7.613368,10.191229,1.4411532,3.607,0.15765001,0.03238,0.16315001,0.32557,204.02,0.82,0.404,0.831,0.106,0.636
EW,Healthcare,50602151936,37.80263,35.179592,4.9044046,7.977,0.13492,0.07715,0.23249,0.27371,6.862,4.004,2.982,0.967,0.147,-0.903
